,Title,Role,Company,Location,Ctc,Experience,Skills
278,Research & Data Analyst Job in Mumbai at M P Jain Tubing Solutions LLP,Research & Data Analyst,M P Jain Tubing Solutions LLP,Mumbai,"₹ 2,00,000",0-2 years,Research and Analytics
281,Business Analyst Job in Bangalore at CN Solutions,Business Analyst,CN Solutions,Bangalore,Competitive salary,7-10 years,
284,Business Analyst Job in Chennai at Colan Infotech Private Limited,Business Analyst,Colan Infotech Private Limited,Chennai,Competitive salary,4-6 years,
287,Associate - Performance Marketing Job in Bangalore at Li-Ning Studio,Associate - Performance Marketing,Li-Ning Studio,Bangalore,"₹ 4,00,000 - 8,00,000",0-5 years,"Data Analysis,Mathematics"
290,Business Development Specialist Job in Delhi at Kasually Klassy,Business Development Specialist,Kasually Klassy,Delhi,"₹ 2,00,000 - 2,40,000",0-2 years,"Data Analysis,Email Marketing,English Proficiency (Spoken),English Proficiency (Written),MS-Excel,Project Management"
293,Business Development Executive - AI & ML Job in Bangalore at Prompt Personnel Consultancy Services Private Limited,Business Development Executive - AI & ML,Prompt Personnel Consultancy Services Private Limited,Bangalore,"₹ 3,00,000 - 5,00,000",0-5 years,"Business Research,Sales,Sales pitch"
296,BOE And Marketing Job in Bangalore at Corizo,BOE And Marketing,Corizo,Bangalore,"₹ 3,60,000 - 6,10,000",0-5 years,"Data Analysis,Email Marketing,Market Analysis,Project Management"
299,Database Engineer Job in Mumbai at Drona Pay Private Limited,Database Engineer,Drona Pay Private Limited,Mumbai,"₹ 3,00,000 - 5,00,000",0-5 years,SQL
302,Junior Associate Job in Delhi at Skidos,Junior Associate,Skidos,Delhi,"₹ 2,00,000 - 2,40,000",0-2 years,"Data Analysis,Golang,Manual Testing,Node.js,Product Management,Research and Analytics,Unity 3D,Unity Engine"
305,Business Analyst Job in Delhi at Dough One Sources Private Limited,Business Analyst,Dough One Sources Private Limited,Delhi,"₹ 2,00,000 - 4,00,000",0-2 years,"British English,Data Analytics,English Proficiency (Spoken),English Proficiency (Written),Google Analytics,HTML,MS-Excel,MS-Office,MySQL,Power BI,Python,Research and Analytics,SQL,Tableau"
308,Data Analyst - R Programming Job in Pune at MyNalanda Solutions & Services Private Limited,Data Analyst - R Programming,MyNalanda Solutions & Services Private Limited,Pune,"₹ 2,40,000 - 4,00,000",0-2 years,"Data Analytics,Data Science,Google Suite (G Suite),MS-Excel,R Programming,SQL,Visual Basic (VB)"
311,Agriculture Drone Pilot Job in Multiple locations at Agriculture Risk Consultant Private Limited,Agriculture Drone Pilot,Agriculture Risk Consultant Private Limited,Mumbai,"₹ 2,00,000 - 4,00,000",0-2 years,"Data Analysis,Manpower Planning,MS-Office"
316,Business Analyst Job in Jaipur at DriftPoint Technologies,Business Analyst,DriftPoint Technologies,Jaipur,"₹ 2,40,000 - 8,40,000",1-3 years,
319,Remote Artificial Intelligence Course Creator Job at AI ML Etc,Artificial Intelligence Course Creator,AI ML Etc,Work from home,"₹ 6,00,000 - 9,00,000",0-5 years,"Computer Vision,Machine Learning,Natural Language Processing (NLP),Neural Networks,Python"
322,Data Analytics Specialist Job in Gurgaon at Zenrate Technologies Private Limited,Data Analytics Specialist,Zenrate Technologies Private Limited,Gurgaon,"₹ 2,00,000 - 2,40,000",0-2 years,"Data Analytics,MS-Excel,Python,SQL"
325,Data Analytics Executive Job in Bangalore at Pioneer Insurance & Reinsurance Brokers Private Limited,Data Analytics Executive,Pioneer Insurance & Reinsurance Brokers Private Limited,Bangalore,"₹ 8,00,000 - 12,00,000",0-5 years,"Data Analytics,MS-Excel,Power BI"
328,Remote Data Management And WhatsApp Marketing Executive Job at Perfarmers Global Private Limited,Data Management And WhatsApp Marketing Executive,Perfarmers Global Private Limited,Work from home,"₹ 2,00,000 - 3,00,000",0-2 years,"Content Marketing,Data Analysis,Email Marketing,English Proficiency (Written)"
331,Data Scientist Job in Mangaluru at Bix Bytes Solutions Private Limited,Data Scientist,Bix Bytes Solutions Private Limited,Mangaluru,"₹ 5,00,000 - 15,00,000",1-3 years,
334,Data Scientist Job in Mumbai at Super Scholar,Data Scientist,Super Scholar,Mumbai,"₹ 6,00,000 - 40,00,000",0-1 years,
337,Business Analyst Job in Chennai at Colan Infotech Private Limited,Business Analyst,Colan Infotech Private Limited,Chennai,Competitive salary,4-6 years,
340,Business Analyst Job in Jaipur at Owebest Technologies Private Limited,Business Analyst,Owebest Technologies Private Limited,Jaipur,Competitive salary,1-3 years,
343,Business Analyst Job in Ahmedabad at Sourceved Technologies Private Limited,Business Analyst,Sourceved Technologies Private Limited,Ahmedabad,"₹ 2,40,000 - 6,00,000",1-3 years,
346,Business Analyst Job in Ahmedabad at Solusoft Technology Pvt. Ltd,Business Analyst,Solusoft Technology Pvt. Ltd,Ahmedabad,"₹ 3,00,000 - 4,20,000",1-3 years,
349,Business Analyst Job in Jaipur at JPLoft,Business Analyst,JPLoft,Jaipur,Competitive salary,1-3 years,
